Resort ID,Resort Name
RES716,saint-imier-mont-soleil
RES717,samedan
RES718,sattelegg-vorderthaleinsiedeln-willerzell
RES719,saxeten-pintli
RES720,schatzalp-strela
RES721,schilt-mollis
RES722,schloesslihang-st-gallen
RES723,schratten-fluehli
RES724,schwanden-sigriswil
RES725,schwefelberg-badmattelouigrat
RES726,schwellbrunn
RES727,seebodenalp-kuessnacht
RES728,selfranga-klosters
RES729,selital-schwarzenbuehl
RES730,sitzberg-fischingen
RES731,sollegg-appenzell
RES732,sommartel-le-locle
RES733,sous-le-mont-tavannes
RES734,springenboden
RES735,st-antoenien
RES736,st-cergue
RES737,staffelalp-zeglingen
RES738,steg-im-toesstal
RES739,sternenberg-schatzboel
RES740,stich-opfertshofen
RES741,sunnbueel-kandersteg
RES742,taesch
RES743,tanzboden-ebnat-kappel
RES744,tarasp
RES745,tectzinols-berguen
RES746,teleconthey-mayens-de-conthey
RES747,tenna
RES748,trachselwald
RES749,tramelan
RES750,trient
RES751,tristeli-st-margrethenberg
RES752,trogen
RES753,tschappinaurmein-heinzenberg
RES754,urnaesch-osteregg
RES755,urnerboden
RES756,valtgeva-sedrun
RES757,vicheres-liddes
RES758,voegelinsegg-speicher
RES759,vorderthal-skilift-waegital
RES760,walenstadtberg
RES761,wasen-im-emmental
RES762,wiesen-gruob
RES763,wildberg-schafbueel
RES764,wirzweli-dallenwil
RES765,wolzenalp-krummenau
RES766,zugerberg
RES767, Val Gardena (Gröden)
RES768,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva
RES769, Kronplatz (Plan de Corones)
RES770, Latemar – Obereggen/Pampeago/Predazzo
RES771, Klausberg – Skiworld Ahrntal
RES772, 3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass
RES773,. Alpe di Siusi (Seiser Alm)
RES774,Livigno
RES775,. Alta Badia
RES776, Belpiano (Schöneben)/Malga San Valentino (Haideralm)
RES777, Carezza
RES778, Gitschberg Jochtal
RES779,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale)
RES780, Speikboden – Skiworld Ahrntal
RES781, Passo San Pellegrino/Falcade
RES782, Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa
RES783,Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre
RES784,. Paganella – Andalo
RES785,Arabba/Marmolada
RES786,. San Martino di Castrozza
RES787,. Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm)
RES788,. Folgaria/Fiorentini
RES789,. Civetta – Alleghe/Selva di Cadore/Palafavera/Zoldo
RES790, Plose – Brixen (Bressanone)
RES791,Alagna Valsesia/Gressoney-La-Trinité/Champoluc/Frachey (Monterosa Ski)
RES792,Cortina d'Ampezzo
RES793,. Alpe Lusia – Moena/Bellamonte
RES794,. Ladurns
RES795,. Monte Bondone
RES796,. Alpe Cermis – Cavalese
RES797,. Rosskopf (Monte Cavallo) – Sterzing (Vipiteno)
RES798,. Pejo 3000
RES799,. Catinaccio/Ciampedie – Vigo di Fassa/Pera di Fassa
RES800,. Meran 2000
RES801, Val Senales Glacier (Schnalstaler Gletscher)
RES802, Schwemmalm
RES803, Sulden am Ortler (Solda all'Ortles)
RES804,. Reinswald (San Martino in Sarentino)
RES805,. Pfelders (Moos in Passeier)
RES806,bardonecchia
RES807,alto-sangro-roccarasorivisondoli
