Resort ID,Resort Name,Continent,Country,State/Province,Country Code
268,kaiserlindenlift-gams-bei-hieflau,Europe,Austria,Styria (Steiermark),AT
269,kaisers,Europe,Austria,Tyrol (Tirol),AT
270,karlift-heiterwang,Europe,Austria,Tyrol (Tirol),AT
271,katschwald-obdach,Europe,Austria,Styria (Steiermark),AT
272,kesselmannlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land),AT
273,kienleitenlift-brandenberg,Europe,Austria,Tyrol (Tirol),AT
274,kinzenberg-taiskirchen-im-innkreis,Europe,Austria,Upper Austria (Oberosterreich),AT
275,kirchbach-rappottenstein,Europe,Austria,Lower Austria (Niederosterreich),AT
276,kirchdorf,Europe,Austria,Tyrol (Tirol),AT
277,kirchdorflift-doren,Europe,Austria,Vorarlberg,AT
278,kirchschlag-bei-linz,Europe,Austria,Upper Austria (Oberosterreich),AT
279,kleinlobming,Europe,Austria,Styria (Steiermark),AT
280,kluglifte-hebalm-rettenbach-deutschlandsberg,Europe,Austria,Styria (Steiermark),AT
281,knittellifte-elbigenalp,Europe,Austria,Tyrol (Tirol),AT
282,koenigsberg-hollenstein-an-der-ybbs,Europe,Austria,Lower Austria (Niederosterreich),AT
283,koenigswiesen,Europe,Austria,Upper Austria (Oberosterreich),AT
284,koetschach-mauthen-vorhegg,Europe,Austria,Carinthia (Karnten),AT
285,kohleck-waldzell,Europe,Austria,Upper Austria (Oberosterreich),AT
286,kolsassberg,Europe,Austria,Tyrol (Tirol),AT
287,konradshuettle-vils,Europe,Austria,Tyrol (Tirol),AT
288,koralpe,Europe,Austria,Carinthia (Karnten),AT
289,kraehenberg-sibratsgfaell,Europe,Austria,Vorarlberg,AT
290,krinnenalpe-nesselwaengle,Europe,Austria,Tyrol (Tirol),AT
291,krippenstein-obertraun,Europe,Austria,Upper Austria (Oberosterreich),AT
292,kroessbach,Europe,Austria,Tyrol (Tirol),AT
293,kronberg-st-georgen-im-attergau,Europe,Austria,Upper Austria (Oberosterreich),AT
294,laerchenhof-erpfendorf,Europe,Austria,Tyrol (Tirol),AT
295,lainach-rangersdorf,Europe,Austria,Carinthia (Karnten),AT
296,lammeralm-langenwang,Europe,Austria,Styria (Steiermark),AT
297,lammertallift-annaberg-lungoetz,Europe,Austria,Salzburg (Salzburger Land),AT
298,lana-lift-anras,Europe,Austria,Tyrol (Tirol),AT
299,langkampfen,Europe,Austria,Tyrol (Tirol),AT
300,lechnerberg,Europe,Austria,Salzburg (Salzburger Land),AT
301,lengau,Europe,Austria,Salzburg (Salzburger Land),AT
302,lessach,Europe,Austria,Salzburg (Salzburger Land),AT
303,liebenau,Europe,Austria,Upper Austria (Oberosterreich),AT
304,maiszinken-lunz-am-see,Europe,Austria,Lower Austria (Niederosterreich),AT
305,maria-schmolln,Europe,Austria,Upper Austria (Oberosterreich),AT
306,mathon,Europe,Austria,Tyrol (Tirol),AT
307,millruette-goetzis,Europe,Austria,Vorarlberg,AT
308,mitteldorflift-doellach-grosskirchheim,Europe,Austria,Carinthia (Karnten),AT
309,moenchdorf-koenigswiesen,Europe,Austria,Upper Austria (Oberosterreich),AT
310,moosberglift-weissenbach-am-lech,Europe,Austria,Tyrol (Tirol),AT
311,moosenlift-uttendorf,Europe,Austria,Salzburg (Salzburger Land),AT
312,moosetallift-leisach,Europe,Austria,Tyrol (Tirol),AT
313,muckenkogel-lilienfeld,Europe,Austria,Lower Austria (Niederosterreich),AT
314,muehldorf,Europe,Austria,Carinthia (Karnten),AT
315,muehlegglift-hopfgarten-in-defereggen,Europe,Austria,Tyrol (Tirol),AT
316,nagelkoepfl-piesendorf,Europe,Austria,Salzburg (Salzburger Land),AT
317,naggler-alm-techendorf-weissensee,Europe,Austria,Carinthia (Karnten),AT
318,navis,Europe,Austria,Tyrol (Tirol),AT
319,neuleutasch-leutasch,Europe,Austria,Tyrol (Tirol),AT
320,niederalpl-muerzsteg-neuberg-an-der-muerz,Europe,Austria,Styria (Steiermark),AT
321,niedere-andelsbuchbezau,Europe,Austria,Vorarlberg,AT
322,niedernsill,Europe,Austria,Salzburg (Salzburger Land),AT
323,niederthai-umhausen,Europe,Austria,Tyrol (Tirol),AT
324,nocksteinlifte-koppl,Europe,Austria,Salzburg (Salzburger Land),AT
325,nussbaumerlifte-hof-bei-salzburg,Europe,Austria,Salzburg (Salzburger Land),AT
326,obdach,Europe,Austria,Styria (Steiermark),AT
327,oberaschenberg-neustift-im-muehlkreis,Europe,Austria,Upper Austria (Oberosterreich),AT
328,oberau-wildschoenau,Europe,Austria,Tyrol (Tirol),AT
329,oberneukirchen,Europe,Austria,Upper Austria (Oberosterreich),AT
330,obervellach,Europe,Austria,Carinthia (Karnten),AT
331,oberwaldlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land),AT
332,oberzeiring-poelstal,Europe,Austria,Styria (Steiermark),AT
333,oswaldbauerlift-krieglach,Europe,Austria,Styria (Steiermark),AT
334,paluda-dalaas,Europe,Austria,Vorarlberg,AT
335,patschalift-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark),AT
336,peretseck-st-johann-am-walde,Europe,Austria,Upper Austria (Oberosterreich),AT
337,petersbruendl-st-michael-im-lungau,Europe,Austria,Salzburg (Salzburger Land),AT
338,pfaender-bregenz,Europe,Austria,Vorarlberg,AT
339,pfaring-angerberg,Europe,Austria,Tyrol (Tirol),AT
340,pirstingerkogellift-sommeralm-hohenau-an-der-raab-passail,Europe,Austria,Styria (Steiermark),AT
341,platzhaus-leitn-stuhlfelden,Europe,Austria,Salzburg (Salzburger Land),AT
342,poelzl-lifte-kindberg,Europe,Austria,Styria (Steiermark),AT
343,postalm-am-wolfgangsee,Europe,Austria,Salzburg (Salzburger Land),AT
344,praegraten-am-grossvenediger,Europe,Austria,Tyrol (Tirol),AT
345,predigstuhl-bad-goisern-am-hallstaettersee,Europe,Austria,Upper Austria (Oberosterreich),AT
346,raggal,Europe,Austria,Vorarlberg,AT
347,raml-molln,Europe,Austria,Upper Austria (Oberosterreich),AT
348,raunigwiese-kolbnitz-reisseck,Europe,Austria,Carinthia (Karnten),AT
349,raxalpe-reichenau-an-der-rax,Europe,Austria,Lower Austria (Niederosterreich),AT
350,reither-kogel-reith-im-alpbachtal,Europe,Austria,Tyrol (Tirol),AT
351,rettenbach-bernstein,Europe,Austria,Burgenland,AT
352,rettenegg,Europe,Austria,Styria (Steiermark),AT
