Resort_ID,Resort_Name,Continent,Country,State_Province,Latitude,Longitude,Country_Code
161,astenberg-wiesing,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
162,astenlift-st-veit-im-pongau,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
163,bachrain-golling-an-der-salzach,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
164,bad-haering,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
165,baienberg-reuthe,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
166,baldramsdorf,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
167,bameshub-neukirchen-am-waldeeschenau,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
168,bazora-gurtisfrastanz,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
169,berger-anger-berg-im-drautal,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
170,bernrad-natternbach,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
171,bichlalm,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
172,birgitz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
173,birkenlift,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
174,boden-pfafflar,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
175,bodental-unterbergen-ferlach,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
176,boeglerlift-alpbach,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
177,bonka-kirchbach-st-andrae-woerdern,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
178,brandlift-scharnitz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
179,brandlwiese-kaumberg,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
180,brandtner-lifte-hartkirchen,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
181,braz-innerbraz,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
182,breitenwang,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
183,brenneralm-breitenfurt-bei-wien,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
184,bruggen-greifenburg,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
185,brunnalmhohe-veitsch-veitsch-st-barbara-im-muerztal,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
186,bschlabs-pfafflar,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
187,buchberg-goldegg,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
188,buchsteinlift-reiflingviertel-st-gallen,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
189,buergeralm-aflenz,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
190,bungerloch-tarrenz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
191,dellach-im-drautal,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
192,dollwiese-vienna,Europe,Austria,Vienna (Wien),47.516231,14.550072,AT
193,dorflift-sulzberg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
194,druckerhof-unterach-am-attersee,Europe,Austria,Salzkammergut,47.516231,14.550072,AT
195,eberschwang-hausruck,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
196,eibisberg-anger,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
197,eichfeldlift-turnau,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
198,elfer-neustift,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
199,embach-hoerndl,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
200,emberger-alm-berg-im-drautal,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
201,eugendorf,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
202,fageralm-forstau,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
203,faschina-fontanella,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
204,feichtecklift-brandlucken-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
205,feichten,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
206,feistritzsattel-trattenbach,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
207,fellachlift-virgen,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
208,fischbach,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
209,floitenlift-ginzling,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
210,foersterkogel-puchenstuben,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
211,forsteralm-waidhofen-an-der-ybbs,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
212,frauenstaffl-ulrichsberg-waidhofen-an-der-thaya,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
213,freistadt,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
214,furtnerlifts-rohr-im-gebirge,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
215,gaaler-lifte-gaal,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
216,gaberlplankogel-salla-maria-lankowitz,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
217,gaisrueckleiten-wiesen,Europe,Austria,Burgenland,47.516231,14.550072,AT
218,gedersberg-seiersberg,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
219,geigenbuehel,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
220,gerlossteinramsberg-hainzenberg,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
221,gfoellberglift-holzgau,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
222,glasenberg-maria-neustift,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
223,goellerlifts-gscheid-st-aegyd-am-neuwalde,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
224,gramais,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
225,graukogel-bad-gastein,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
226,gries-laengenfeld,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
227,griminitzen-kirchbach,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
228,groellerkopf-uebersaxen,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
229,gruenberg-obsteig,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
230,grunholzlift-au,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
231,gut-enghagen-rossleithen,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
232,haeselgehr,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
233,hagenberglifte-sulzberg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
234,hahnbaum-st-johann-im-pongau,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
235,hallstatt,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
236,hammerbodenlift-grossreifling-landl,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
237,hansberg-st-johann-am-wimberg,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
238,hartmannsdorf,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
239,hauereck-st-kathrein-am-hauenstein,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
240,hausberglift-waidring,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
241,heidialm-skipark-falkert,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
242,heumoeser-ebnit-dornbirn,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
